,nazwa,Korekta,rodzaj,nazwa2,,Model,Numer wewnętrzny,Właściwa kategoria główna,Kategoria I,Kategoria II,Kategoria III,Zasięg,Udźwig (t),Dodatki
10078,Ładowarka teleskopowa 8m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,8m,-,-
3032,Ładowarka teleskopowa 9m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,9m,-,-
10070,Ładowarka teleskopowa Dieci Apollo 25.6,,artykuł,Ladowarki teleskopowe,x,Dieci Apollo 25.6,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,-,-,Dieci Apollo 25.6
12099,Ładowarka teleskopowa obrotowa 16m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,,,16m,-,-
10096,Ładowarka teleskopowa obrotowa 16m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,16m,-,-
11097,Ładowarka teleskopowa obrotowa 18m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,18m,-,-
11112,Ładowarka teleskopowa obrotowa 18m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,18m,-,-
10061,Ładowarka teleskopowa obrotowa 18m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,18m,-,-
11101,Ładowarka teleskopowa obrotowa 21m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,-
11102,Ładowarka teleskopowa obrotowa 21m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,-
10045,Ładowarka teleskopowa obrotowa 21m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,-
8048,Ładowarka teleskopowa obrotowa 21m,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,-
5059,Ładowarka teleskopowa obrotowa 21m z wciągarką,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,z wciągarką
5052,Ładowarka teleskopowa obrotowa 21m z wciągarką,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,z wciągarką
4060,Ładowarka teleskopowa obrotowa 21m z wciągarką,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,21m,-,z wciągarką
10113,Ładowarka teleskopowa obrotowa 25m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,Obrotowe,,25m,-,-
10075,Ładowarka teleskopowa z łyżką,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,-,-,z łyżką
12104,Ładowarka teleskopowo - obrotowa 21m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,,,21m,-,-
12107,Ładowarka teleskopowo - obrotowa18m,,artykuł,ogólna,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,,,18m,-,-
10054,Mini żuraw Unic 295,,artykuł,ogólna,x,Unic 295,,Miniżuraw,,,,-,-,Unic 295
3024,nożycowy Podnośnik elektryczny,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,-,-,-
5043,Podest nożycowy elektryczny 10m,,artykuł,Podesty nozycowe,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,10m,-,-
5093,Podest nożycowy elektryczny 16m,,artykuł,Podesty nozycowe,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,16m,-,-
5042,Podest nożycowy elektryczny 8m,,artykuł,Podesty nozycowe,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,8m,-,-
5086,Podest nożycowy spalinowy 15 m,,artykuł,Podesty nozycowe,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,,,15m,-,-
4062,Podest przegubowo - teleskopowy spalinowy 16mP,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
4061,Podest przegubowo-teleskopowy spalinowy,,artykuł,Podesty przegubowo-teleskopowe,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
12113,Podnosnik nożycowy elektryczny 14m terenowy,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,14m,-,terenowe
10074,Podnosnik przegubowo-teleskopowy spalinowy 16m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
6047,Podnośnik gąsienicowy CELA DT25,,artykuł,ogólna,x,CELA DT25,,Podnośniki Specjalne,Podnośniki Gąsienicowe,,,-,-,CELA DT25
6048,Podnośnik gąsienicowy CELA DT25,,artykuł,ogólna,x,CELA DT25,,Podnośniki Specjalne,Podnośniki Gąsienicowe,,,-,-,CELA DT26
8064,Podnośnik gąsienicowy CELA DT25,,artykuł,ogólna,x,CELA DT25,,Podnośniki Specjalne,Podnośniki Gąsienicowe,,,-,-,CELA DT27
5050,Podnośnik koszowy 16m,,artykuł,ogólna,x,,,Podnośniki Koszowe,,,,16m,-,-
8068,Podnośnik koszowy 25m,,artykuł,ogólna,x,,,Podnośniki Koszowe,,,,25m,-,-
8071,Podnośnik koszowy na samochodzie 16m,,artykuł,ogólna,x,,,Podnośnik na samochodzie,Podnośnik koszowy na samochodzie,,,16m,-,na samochodzie
12106,Podnośnik koszowy na samochodzie 20m,,artykuł,ogólna,x,,,Podnośnik na samochodzie,Podnośnik koszowy na samochodzie,,,20m,-,na samochodzie
10057,Podnośnik na przyczepie 17m,,artykuł,ogólna,x,,,Podnośniki Specjalne,Podnośniki na przyczepkach,,,17m,-,-
10111,Podnośnik nożycowe spalinowy 18m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Spalinowe,Spalinowe,,18m,-,-
3021,Podnośnik nożycowy 14ma,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,,,,14m,-,-
11119,Podnośnik nożycowy 6m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,,,,6m,-,-
11120,Podnośnik nożycowy 6m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,,,,6m,-,-
11121,Podnośnik nożycowy 6m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,,,,6m,-,-
2016,Podnośnik nożycowy elektryczny,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,-,-,-
3022,Podnośnik nożycowy elektryczny,,artykuł,Podesty nozycowe elektryczne,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,-,-,-
